스트링 ID	한국어	영어
stringId	KR	EN
string	string	string
STR_CAP_000001	본문	영어
STR_TAG_000001	해시태그	영어
STR_CMT_000001	댓글	영어
STR_NAME_000000	우리	영어
STR_NAME_000001	닉네임	영어
STR_BIO_000000	초보 집사입니다	영어
STR_BIO_000001	소개문구	영어
STR_NOTI_000001	{npcAccountName}님이 댓글을 남겼습니다: {commentText}	영어
STR_NOTI_000002	{npcAccountName}님이 회원님을 팔로우하기 시작했습니다.	영어
STR_NOTI_000003	{npcAccountName}님 외 {extraNumber}명이 회원님을 팔로우하기 시작했습니다.	영어
STR_NOTI_000004	{npcAccountName}님이 회원님의 사진을 좋아합니다.	영어
STR_NOTI_000005	{npcAccountName}님 외 {extraNumber}명이 회원님의 사진을 좋아합니다.	영어
STR_DIA_000001	대화 내용	영어
STR_DIA_000002	대화 내용	영어
STR_DIA_000003	대화 내용	영어
STR_DIA_000004	대화 내용	영어
STR_DIA_000005	대화 내용	영어
STR_FOLD_000001	모든 사진	영어
STR_FOLD_000002	뭉치	영어
STR_FOLD_000003	일상	영어
STR_FOLD_000004	신규 고양이	영어
STR_FOLD_000005	신규 고양이	영어
